sep=,
author,desc,link,title,upvote
Дневник.ру,"Генеральный директор цифровой образовательной платформы «Дневник.ру» Гавриил Леви о том, как организовать турнир по компьютерным играм для школьников и привлечь крупного инвестора.",https://vc.ru/users/108610,Киберспорт в образовании: кейс «Дневник.ру»,10
Albert  Khabibrakhimov,Противоречие с европейским законодательством может привести к уходу иностранных компаний с российского рынка.,https://vc.ru/users/53259,Эксперты предупредили о распространении «закона Яровой» на зарубежных операторов,12
Albert  Khabibrakhimov,Покупатели смогут обменять «бриллкоины» на бриллианты российской компании АЛРОСА.,https://vc.ru/users/53259,Сингапурский фонд запустит в России продажи обеспеченной бриллиантами криптовалюты,15
Albert  Khabibrakhimov,"Лучшие позиции у Mail.Ru Group, которой принадлежат «ВКонтакте» и «Одноклассники».",https://vc.ru/users/53259,Сервисы Facebook обошли «Яндекс» по ежедневной мобильной аудитории в рунете,18
Albert  Khabibrakhimov,Инвесторы уверены в привлекательности этого сегмента.,https://vc.ru/users/53259,Экс-владелец «Мортона» с партнёром вложат $10 млн в платформу для автоматизации ICO,8
Albert  Khabibrakhimov,"Центробанк не заинтересован в том, чтобы «надолго застрять» с временной администрацией в этих банках.",https://vc.ru/users/53259,Зампред ЦБ рассказал о «высокой вероятности» присоединения «Бинбанка» к «Открытию»,0
Albert  Khabibrakhimov,Теперь функция доступна только владельцам платной подписки.,https://vc.ru/users/53259,«ВКонтакте» и «Одноклассники» ограничили время фонового прослушивания музыки в приложениях,53
Роман Горбачёв,Объясняет основатель студии «Логомашина» Роман Горбачёв.,https://vc.ru/users/700,Как отличить плохой логотип от хорошего в два счета,40
,,,,
,,http://mashable.com/2017/10/03/music-playing-toothbrush-bleep-bleeps/,"Get kids excited to brush their teeth with this smart, music playing toothbrush",
,,http://mashable.com/2017/10/03/data-science-online-course/,"You'll never be Bill Nye, but you can be a data scientist",
,,http://mashable.com/2017/10/02/mighty-audio-spotify-portable-music-player/,This music player lets you stream all your Spotify playlists without a phone,
,,http://mashable.com/2017/10/02/keysmart-pro-tile-key-detector/,This smart keychain tracks your keys so you don't have to,
,,http://mashable.com/2017/10/02/san-bernardino-iphone-fbi-court/,Court says the FBI doesn't have to reveal the cost of hacking the San Bernardino iPhone,
,,http://mashable.com/2017/10/01/download-this-holo-arr-app/,Download this: Holo's AR app puts 'holograms' into the world around you,
,,http://mashable.com/2017/09/29/harry-potter-eta-clock/,Keep tabs on loved ones at all times with this Harry Potter-inspired clock,
,,http://mashable.com/2017/09/29/hd-versatile-camera-yocam/,This HD adventure camera is everything your smartphone camera isn't,
,,http://mashable.com/2017/09/29/laptop-for-any-lifestyle/,This laptop fits flawlessly into any lifestyle,
,,http://mashable.com/2017/09/29/sphero-mini-hands-on/,"Sphero Mini: Adorable, cheap, and you can control it with your face",
,,http://mashable.com/2017/10/03/whatsapp-own-emoji/,"WhatsApp has unveiled its own emoji, so things might look a little strange",
,,http://mashable.com/2017/10/03/bring-back-headphone-jack/,"Hey, smartphone makers: I still want a headphone jack",
,,http://mashable.com/2017/10/03/facebook-messenger-lite-global/,Facebook's data-saving Messenger Lite finally rolls out to the rest of the world,
,,http://mashable.com/2017/10/02/facebook-russia-ads-10-million/,Facebook says 10 million people saw Russia's 'divisive' political ads,
,,http://mashable.com/2017/10/02/nissan-sweat-sensing-car-seats/,"Nissan made this weird, sweat-sensing car seat to detect dehydration",
,,http://mashable.com/2017/10/02/gm-electric-vehicle-goals/,General Motors unveils plan to release 20 electric vehicles by 2023,
,,http://mashable.com/2017/10/02/melee-gamecube-controllers/,'Super Smash Bros. Melee' is starting to outgrow its controllers,
,,http://mashable.com/2017/10/02/super-nes-classic-where-to-buy-tips/,"SNES Classic is sold out everywhere, but you still have a chance to score one",
,,http://mashable.com/2017/10/02/samsung-adt-smartthings-partnership/,Samsung and ADT partner to launch new smart home security kit,
,,http://mashable.com/2017/10/02/fizzics-waytap-home-beer-tap/,Have a pint from this home beer tap that uses sound waves to foam up your drink,
,,http://mashable.com/2017/10/03/tesla-model-3-production-slow/,"Tesla said it would build 1,500 Model 3s in Q3 2017, but it only built 260",
,,http://mashable.com/2017/10/02/google-pixel-2-front-leak/,New Google Pixel 2 XL leak shows the phone's front display,
,,http://mashable.com/2017/10/02/iphone-x-truedepth-camera-competitors/,"Apple is years ahead of Android competitors with the iPhone X, says analyst",
,,http://mashable.com/2017/10/02/playstation-vr-headset-updated/,Sony's new PlayStation VR headset is a little nicer than the last one,
,,http://mashable.com/2017/10/02/huawei-mate-10-pro-leak/,Huawei Mate 10 Pro is looking pretty in new leak,
,,http://mashable.com/2017/09/29/smart-robotic-mop-and-vacuum-on-kickstarter/,This Kickstarter project is about to make mopping a hands free-job,
,,http://mashable.com/2017/09/29/smartphone-magnifier-blows-up-movies-on-mini-tv/,This smartphone magnifier can make you feel like you're watching a mini TV,
,,http://mashable.com/2017/09/29/mac-wrong-firmware-white-paper/,New study finds small percentage of Macs are running insecure firmware,
,,http://mashable.com/2017/09/29/reels-best-new-ios-11-features/,13 Incredibly Handy New iOS 11 Features,
,,http://mashable.com/2017/09/29/iphone-8-split-open-apple-response/,Apple is investigating reports iPhone 8 Plus devices bursting open,
,,,,
